City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,afaahiti,-17.75,-149.2833,19.93,72,58,10.31,PF,1692379116
146,quellon,-43.1167,-73.6167,7.14,87,75,5.14,CL,1692379116
147,san patricio,28.017,-97.5169,36.97,39,1,3.23,US,1692379116
148,hamilton,39.1834,-84.5333,25.33,53,0,2.57,US,1692379116
149,manokwari,-0.8667,134.0833,25.3,83,100,1.44,ID,1692379016
150,kuqa,41.7278,82.9364,23.5,39,84,12.62,CN,1692378958
151,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,6.17,EC,1692379116
152,huayin,34.5675,110.0921,25.85,50,58,1.97,CN,1692379116
153,brookings,44.3114,-96.7984,24.49,65,0,12.35,US,1692379011
154,odacho-oda,35.1833,132.5,25.72,90,97,3.26,JP,1692379092
155,chui,-33.6971,-53.4616,17.08,93,100,4.3,UY,1692379117
156,tsiombe,-25.3,45.4833,20.64,63,2,1.95,MG,1692379117
157,kristiansund,63.1115,7.732,21.03,60,0,5.66,NO,1692379118
158,nova olinda do norte,-3.8881,-59.0942,39.88,22,72,1.5,BR,1692379118
159,phan rang-thap cham,11.5667,108.9833,25.71,89,93,2.15,VN,1692379118
160,vilyuchinsk,52.9306,158.4028,14.15,95,100,1.93,RU,1692378914
161,la huacana,18.9667,-101.8167,26.51,71,100,0.56,MX,1692379118
162,howrah,22.5892,88.3103,28.0,89,40,3.6,IN,1692379118
163,mindelo,16.8901,-24.9804,29.75,70,40,5.14,CV,1692378896
164,antofagasta,-23.65,-70.4,18.6,62,9,3.92,CL,1692379119
165,atar,20.5169,-13.0499,40.1,19,82,2.41,MR,1692379119
166,mata-utu,-13.2816,-176.1745,27.27,80,92,5.11,WF,1692379119
167,powell river,49.8496,-124.5361,18.35,55,0,7.2,CA,1692379119
168,souillac,-20.5167,57.5167,22.21,78,20,1.54,MU,1692379119
169,rongelap,11.1635,166.8941,28.15,77,94,5.95,MH,1692379119
170,baillif,16.0202,-61.7463,31.72,66,7,6.01,GP,1692379120
